Goaltender,IceX,IceY,Save
Smith,43.53329465,37.4859797,No
Smith,37.8732047,17.35093755,Yes
Smith,33.54490062,59.59504559,Yes
Smith,59.51472508,51.30414588,Yes
Smith,61.51240389,52.88336487,Yes
Smith,44.53213405,47.3560984,Yes
Smith,17.23052372,63.54309307,Yes
Smith,58.51588568,27.615861,Yes
Smith,65.84070796,39.85480819,Yes
Smith,46.86275932,22.08859453,No
Smith,35.8755259,58.0158266,No
Smith,35.20963296,24.06261827,No
Smith,55.51936747,32.74832272,Yes
Smith,11.57043377,34.32754172,Yes
Brown,44.19918758,23.27300877,Yes
Brown,47.86159872,57.62102185,Yes
Brown,38.20615117,65.91192156,Yes
Brown,45.86391992,38.2755892,Yes
Brown,54.1875816,73.80801651,No
Brown,40.20382997,60.38465508,Yes
Brown,67.83838677,37.88078445,Yes
Brown,34.54374003,34.32754172,Yes
Brown,34.54374003,34.32754172,Yes
Brown,40.20382997,24.45742302,Yes
Brown,31.54722182,65.12231206,Yes
Brown,47.86159872,41.43402718,Yes
Brown,41.53561584,35.90676071,Yes
Brown,42.53445524,55.64699811,Yes
Brown,60.18061802,72.62360227,Yes
Brown,60.18061802,72.62360227,Yes
Brown,41.53561584,28.80027525,Yes
Brown,51.52400987,28.01066575,Yes
Brown,24.22239954,59.20024084,Yes
Brown,15.56579138,44.98726991,Yes
Brown,58.51588568,53.27816962,Yes
Brown,34.54374003,50.90934113,Yes
Brown,41.53561584,50.90934113,Yes
Brown,34.87668649,35.11715121,Yes
Brown,57.84999275,39.06519869,Yes
Brown,22.5576672,65.12231206,Yes
Brown,80.823299,65.12231206,No
Brown,52.52284927,36.30156546,Yes
Brown,7.242129697,70.25477378,Yes
Brown,49.85927753,64.33270256,Yes
Brown,51.1910634,34.72234646,Yes
Brown,56.18526041,35.51195596,No
Brown,59.51472508,48.54051264,Yes
Brown,54.52052807,27.615861,Yes
Brown,40.86972291,35.11715121,No
Brown,59.84767155,39.06519869,Yes
Brown,42.53445524,37.88078445,Yes
Brown,42.53445524,37.88078445,Yes
Brown,38.8720441,30.37949424,Yes
Brown,16.56463078,41.82883193,Yes
Brown,34.54374003,22.08859453,Yes
Brown,52.52284927,23.27300877,Yes
Brown,21.22588133,50.11973164,Yes
Brown,68.5042797,26.03664201,No
Brown,50.85811693,28.01066575,Yes
Brown,54.85347454,56.4366076,Yes
Brown,58.18293921,33.53793222,Yes
Brown,49.52633106,20.11457079,Yes
Brown,31.54722182,50.11973164,Yes
Brown,26.88597128,41.43402718,No
Brown,40.86972291,72.62360227,Yes
Brown,43.53329465,30.77429899,Yes
Brown,40.20382997,39.06519869,Yes
Brown,43.86624111,27.615861,Yes
Brown,19.56114899,46.17168416,Yes
Brown,21.5588278,78.15086874,Yes
Brown,49.52633106,23.27300877,Yes
Brown,19.56114899,45.38207466,Yes
Brown,41.86856231,75.78204025,Yes
Brown,33.87784709,30.37949424,Yes
Brown,69.83606557,48.93531739,Yes
Brown,32.87900769,14.98210907,Yes
Brown,63.84302916,39.85480819,Yes
Brown,15.89873785,43.01324617,Yes
Brown,61.84535036,67.0963358,Yes
Brown,41.20266937,53.67297437,Yes
Brown,31.21427535,37.88078445,Yes
Brown,31.21427535,53.67297437,Yes
Brown,47.19570579,16.56132806,Yes
Brown,34.87668649,53.67297437,Yes
Brown,21.89177426,68.28075004,Yes
Brown,49.19338459,30.37949424,Yes
Brown,57.51704628,39.46000344,Yes
